table,roll,name,type,old_page,new_page
A,100-101,Bergamot's,Oils,899,765
A,127-128,Cleo May,Oils,900,766
A,129-130,of Cloaking,Oils,575,766
A,131-132,of Commanding,Oils,480,766
A,157-158,Doas Isay's,Oils,902,767
A,159-160,Double Cross,Oils,902,768
A,161,of Dragon's Blood,Oils,902,768
A,162-163,of Dream,Oils,902,768
A,166-167,of Elasticity,Oils,"[865, 866]",768
A,170-171,of Enchantment,Oils,1512,768
A,175-176,of Etherealness,Oils,"[74, 82]",768
A,179-180,of Eve,Oils,903,769
A,181-182,of the Evil Eye,Oils,360,769
A,188-189,of Feather Falling,Oils,195,769
A,194-195,Five Finger Grass,Oils,903,770
A,203-204,Getaway's,Oils,903,770
A,205-206,Grape,Oils,903,770
A,212-213,of High John the Conqueror,Oils,904,771
A,216-217,Honeysuckle,Oils,904,771
A,219-220,Hypnotic,Oils,904,771
A,229-230,of Invulnerability,Oils,755,771
A,238-239,of Jinx Removing,Oils,905,772
A,245-246,of Life,Oils,905,772
A,247-248,of Lighting,Oils,374,772
A,251-252,Lily of the Valley,Oils,905,773
A,262-263,of Mercury,Oils,905,773
A,269-270,Moon,Oils,"[380, 390]",774
A,277,of New life,Oils,906,774
A,280-281,Obeah,Oils,906,774
A,289-290,of Petrification,Oils,654,775
A,297-298,of Power,Oils,907,776
A,299,of Preservation,Oils,216,776
A,304-305,of Reversibility,Oils,909,776
A,308-309,Rosemary,Oils,909,776
A,310,Rue,Oils,909,776
A,312,Sandalwood,Oils,909,776
A,323,Snake,Oils,910,777
A,324-325,Solomon's,Oils,910,777
A,326-327,Spikenard,Oils,910,777
A,328-329,Spirit,Oils,706,778
A,335-336,of Time,Oils,1252,778
A,339-340,Trinity,Oils,910,778
A,341-342,of Unlocking,Oils,633,779
A,346-347,Virgin Olive,Oils,910,779
A,348-349,of Vision,Oils,252,779
A,350-351,of Voodoo,Oils,911,779
A,354-355,Wintergreen,Oils,911,779
A,356,of Wishing,Oils,1527,779
A,357-358,Witch's,Oils,1497,779
A,389-390,of Flying,Ointments,1513,780
A,391,of Healing,Ointments,1324,780
A,398-399,Poison,Ointments,151,781
A,400-401,of Recovery,Ointments,1082,781
A,427-428,of Drunkenness,Philters,865,828
A,442-443,Quirks*,Philters,443,829
A,464-465,of Absorption,Potions,1093,853
A,481-482,of Animal Control,Potions,947,855
A,494,of Blending,Potions,838,856
A,495-496,of Blindness,Potions,229,856
A,501-502,of Chameleon Power,Potions,952,857
A,505-506,of Clairaudience,Potions,953,857
A,507,of Clairvoyance,Potions,1510,857
A,516-517,of Climbing,Potions,1043,857
A,521-522,of Confusion,Potions,901,858
A,538-539,of Deafness,Potions,1557,860
A,540,of Defense,Potions,241,860
A,551-552,of Delusion,Potions,519,860
A,562-563,of Dragon Breath,Potions,431,864
A,628-629,of Enlightenment,Potions,727,866
A,630-631,of ESP,Potions,1512,867
A,632,of Ethereality,Potions,74,867
A,633-636,of Explosions,Potions,89,867
A,643-644,of Fire Resistance,Potions,1053,868
A,648-649,of Flying,Potions,1513,868
A,652-653,of Forgetfulness,Potions,420,869
A,659-660,of Freedom,Potions,815,869
A,665-666,of Frost Resistance,Potions,351,869
A,67-68,African Ju Ju,Oils,899,763
A,692-693,of Healing,Potions,1324,872
A,70-71,Allspice,Oils,899,763
A,700-701,of Human Control,Potions,970,872
A,707-708,of Infravision,Potions,455,873
A,729-730,of Levitation,Potions,483,874
A,742-743,of Luck,Potions,351,877
A,744-745,of Lycanthropy,Potions,1115,877
A,753-754,of Magic Resistance,Potions,36,878
A,759,of Magnetism,Potions,1211,878
A,78-79,Anise,Oils,899,764
A,783,of Neutralization,Potions,983,880
A,799-800,of Petrification,Potions,654,881
A,803-804,of Plant Control,Potions,985,882
A,843-844,Quirks,Potions,443,885
A,85-86,of Armor,Oils,69,764
A,852-853,of Regeneration,Potions,993,887
A,871-872,of Scrying,Potions,777,888
A,873-874,of Seeing,Potions,528,888
A,876-877,of Shadow,Potions,255,888
A,880-881,of Sight,Potions,979,888
A,882-883,Singing,Potions,1117,889
A,89-90,Attraction,Oils,154,764
A,900-901,of Speed,Potions,210,890
A,921,of Sustenance,Potions,1002,892
A,924-925,of Swimming,Potions,"[953, 1002]",892
A,933-934,of Tongues,Potions,1004,893
A,946-947,of the Undead,Potions,83,895
A,955-956,of Venom,Potions,"[366, 371, 1375]",896
A,96-97,of Beauty,Oils,828,765
A,967,of Water Breathing,Potions,753,897
A,974-975,of Wizardry,Potions,"[952, 1007]",897
A,983-984,of Far Seeing,Salves,654,1052
A,985-986,of Healing,Salves,1324,1052
A,987-988,of Scar Removal,Salves,781,1052
A,994-995,Blessed,Water,841,1505
A,996-997,Golden,Water,1303,1505
B,101-110,of Communication,Scrolls,29,1071
B,191-200,of the Efreeti,Scrolls,199,1073
B,271-280,Glyph,Scrolls,1178,1074
B,291-300,of Illumination,Scrolls,1483,1075
B,351-360,of Portals,Scrolls,732,1076
B,721-730,Quirks,Scrolls,443,1081
B,741-750,of Repetition,Scrolls,1014,1082
B,791-800,of Seeing,Scrolls,528,1083
B,821-830,of Shelter,Scrolls,1431,1083
B,941-950,of Trapping,Scrolls,201,1085
