table,category,subcategory,roll_display,roll_low,roll_high,name,reroll,page,page_status
A,Magical Liquids,,01,1,1,Enchanted Enhancements,True,21,filled
A,Magical Liquids,,2-3,2,3,Arcane Formulae for a Dracolich,False,163,filled
A,Magical Liquids,,4-5,4,5,Arcane Formulae for a Lich,False,163,filled
A,Magical Liquids,,6-7,6,7,Cordial of the Dryad Elixirs,False,330,filled
A,Magical Liquids,,8-9,8,9,of Additional Weaponry,False,441,filled
A,Magical Liquids,,10-11,10,11,of All-Purpose Healing,False,441,filled
A,Magical Liquids,,12,12,12,Distillate of Wolfsbane,False,441,filled
A,Magical Liquids,,13-14,13,14,Glitz & Klax's,False,871,filled
A,Magical Liquids,,15-16,15,16,of Health,False,969,filled
A,Magical Liquids,,17-18,17,18,of Heroic Action,False,442,filled
A,Magical Liquids,,19-20,19,20,of Kindness,False,442,filled
A,Magical Liquids,,21-22,21,22,of Life,False,905,filled
A,Magical Liquids,,23,23,23,of Luck,False,351,filled
A,Magical Liquids,,24-25,24,25,of Madness,False,443,filled
A,Magical Liquids,,26-27,26,27,Nerve Tonic,False,443,filled
A,Magical Liquids,,28-29,28,29,Nodozze,False,443,filled
A,Magical Liquids,,30-31,30,31,of Obscurement,False,443,filled
A,Magical Liquids,,32-33,32,33,of Photosynthesis,False,443,filled
A,Magical Liquids,,34,34,34,Physical Enhancement,False,443,filled
A,Magical Liquids,,35-36,35,36,Quirks,True,443,filled
A,Magical Liquids,,37-38,37,38,Rainbow Bridge,False,445,filled
A,Magical Liquids,,39-40,39,40,of Reduction,False,445,filled
A,Magical Liquids,,41-42,41,42,of Revivication,False,445,filled
A,Magical Liquids,,43-44,43,44,of Sanity,False,445,filled
A,Magical Liquids,,45-46,45,46,Skunk Water,False,445,filled
A,Magical Liquids,,47,47,47,of Sunlight Resistance,False,445,filled
A,Magical Liquids,,48-49,48,49,of Weakness,False,1006,filled
A,Magical Liquids,,50-51,50,51,of Youth,False,446,filled
A,Magical Liquids,,52-53,52,53,of Zorbo Fingers,False,446,filled
A,Magical Liquids,,54-55,54,55,Essence of Darkness,False,446; 824,filled
A,Magical Liquids,,56-57,56,57,Ichor of Intoxication,False,607,filled
A,Magical Liquids,,58,58,58,Liquid Iron,False,1484,filled
A,Magical Liquids,,59-60,59,60,Liquid Road,False,772,filled
A,Magical Liquids,,61-62,61,62,Mist of Rapture,False,736,filled
A,Magical Liquids,,63-64,63,64,Absinthe,False,763,filled
A,Magical Liquids,,65-66,65,66,of Acid Resistance,False,763,filled
A,Magical Liquids,,67-68,67,68,African Ju Ju,False,899,filled
A,Magical Liquids,,69,69,69,of Agelessness,False,763,filled
A,Magical Liquids,,70-71,70,71,Allspice,False,899,filled
A,Magical Liquids,,72-73,72,73,Allspice II,False,899,filled
A,Magical Liquids,,74-75,74,75,Anger,False,763,filled
A,Magical Liquids,,76-77,76,77,Animation,False,764,filled
A,Magical Liquids,,78-79,78,79,Anise,False,899,filled
A,Magical Liquids,,80,80,80,Aphrodisia,False,764,filled
A,Magical Liquids,,81-82,81,82,Arabian Nights,False,764,filled
A,Magical Liquids,,83-84,83,84,of Aries,False,764,filled
A,Magical Liquids,,85-86,85,86,of Armor,False,69,filled
A,Magical Liquids,,87-88,87,88,of Armor II,False,69,filled
A,Magical Liquids,,89-90,89,90,Attraction,False,154,filled
A,Magical Liquids,,91-92,91,92,Attractiveness,False,697,filled
A,Magical Liquids,,93,93,93,Bard's Aphrodisiac Inspiration,False,764,filled
A,Magical Liquids,,94-95,94,95,Bats' Blood,False,765,filled
A,Magical Liquids,,96-97,96,97,of Beauty,False,828,filled
A,Magical Liquids,,98-99,98,99,Bendover's,False,765,filled
A,Magical Liquids,,100-101,100,101,Bergamot's,False,899,filled
A,Magical Liquids,,102-103,102,103,of the Black Arts,False,765,filled
A,Magical Liquids,,104,104,104,Bottom #20,False,900,filled
A,Magical Liquids,,105-106,105,106,Bruno's Curse,False,765,filled
A,Magical Liquids,,107-108,107,108,Buddha Type I,False,900,filled
A,Magical Liquids,,109-110,109,110,Buddha Type II,False,900,filled
A,Magical Liquids,,111-112,111,112,Buddha Type III,False,900,filled
A,Magical Liquids,,113-114,113,114,of Bug Repellence,False,765,filled
A,Magical Liquids,,115,115,115,Bull's,False,765,filled
A,Magical Liquids,,116-117,116,117,of Buoyancy,False,765,filled
A,Magical Liquids,,118-119,118,119,Caloric Shield,False,766,filled
A,Magical Liquids,,120-121,120,121,Carnation,False,766,filled
A,Magical Liquids,,122-123,122,123,Cassava,False,766,filled
A,Magical Liquids,,124-125,124,125,Cintronella,False,900,filled
A,Magical Liquids,,126,126,126,Civit,False,766,filled
A,Magical Liquids,,127-128,127,128,Cleo May,False,900,filled
A,Magical Liquids,,129-130,129,130,of Cloaking,False,575,filled
A,Magical Liquids,,131-132,131,132,of Commanding,False,480,filled
A,Magical Liquids,,133-134,133,134,of Concentration,False,766,filled
A,Magical Liquids,,135-136,135,136,of Confusion,False,901,filled
A,Magical Liquids,,137-138,137,138,of Conquering Glory,False,766,filled
A,Magical Liquids,,139,139,139,Controlling,False,766,filled
