table,category,subcategory,roll_display,roll_low,roll_high,name,reroll,page,page_status
C,Rings,,1-3,1,3,Enchanted Enhancements,True,21,review
C,Rings,,4-7,4,7,Admunford of Leadership,False,1030,filled
C,Rings,,8-11,8,11,of Affliction,False,947,filled
C,Rings,,12-14,12,14,of Amasis,False,947,filled
C,Rings,,15-18,15,18,of Animal Control,False,947,filled
C,Rings,,19-22,19,22,of Animal Friendship,False,947; 998,filled
C,Rings,,23-25,23,25,Animal Magnetism,False,948,filled
C,Rings,,26-29,26,29,Annulment,False,948,filled
C,Rings,,30-33,30,33,Anything,False,1473,review
C,Rings,,34-36,34,36,of Apathy,False,948,filled
C,Rings,,37-40,37,40,of Appearance,False,948,filled
C,Rings,,41-44,41,44,of Aquatic Depth Location,False,948,filled
C,Rings,,45-47,45,47,of Arachnid Control,False,949,filled
C,Rings,,48-51,48,51,Armor of Eelix,False,69,review
C,Rings,,52-55,52,55,of Armoring,False,949,filled
C,Rings,,56-59,56,59,of Avian Control,False,949,filled
C,Rings,,60-62,60,62,Awareness,False,341,review
C,Rings,,63-66,63,66,Bard's,False,949,filled
C,Rings,,67-70,67,70,of Beauty,False,828,filled
C,Rings,,71-73,71,73,Berronar Truesilver's Silver,False,949,filled
C,Rings,,74-77,74,77,of Detect Lies,False,1511,review
C,Rings,,78-81,78,81,of Thief Negation,False,1488,review
C,Rings,,82-84,82,84,Bladeturning,False,949,filled
C,Rings,,85-88,85,88,Blink,False,950,filled
C,Rings,,89-92,89,92,Blinking,False,240,review
C,Rings,,93-95,93,95,of Boccob,False,950,filled
C,Rings,,96-99,96,99,Bone,False,1476,review
C,Rings,,100-103,100,103,Browdow's of Weapon Harm,False,1513,review
C,Rings,,104-107,104,107,Burbul,False,951,filled
C,Rings,,108-110,108,110,of Bureaucratic Wizardry,False,952; 995,filled
C,Rings,,111-114,111,114,of Cantrips,False,952,filled
C,Rings,,115-118,115,118,Cat's Eye,False,952,filled
C,Rings,,119-121,119,121,of Chameleon Power,False,952,filled
C,Rings,,122-125,122,125,of Cirulon,False,585,review
C,Rings,,126-129,126,129,Cilidarius's of Wizardry,False,952,filled
C,Rings,,130-132,130,132,of Clairaudience,False,953,filled
C,Rings,,133-136,133,136,of Clear Thought,False,953,filled
C,Rings,,137-140,137,140,of Cloaked Wizardry and Invisibility,False,953,filled
C,Rings,,141-143,141,143,of Clumsiness,False,953,filled
C,Rings,,144-147,144,147,of the Comet,False,953,filled
C,Rings,,148-151,148,151,Command,False,1275,review
C,Rings,,152-154,152,154,of Continual Churning,False,1452,review
C,Rings,,155-158,155,158,of Contrariness,False,955,filled
C,Rings,,159-162,159,162,of Coolness,False,73,review
C,Rings,,163-166,163,166,Corkitron's of Human Influence,False,955,filled
C,Rings,,167-169,167,169,of Courtly Etiquette,False,955,filled
C,Rings,,170-173,170,173,Crius,False,955,filled
