table,category,subcategory,roll_display,roll_low,roll_high,name,reroll,page,page_status
G,Misc: Books,,1-3,1,3,Enchanted Enhancements,True,21,filled
G,Misc: Books,,4-7,4,7,of Binding Souls,False,185,filled
G,Misc: Books,,8-10,8,10,Disks of Mishakal,False,185; 187,filled
G,Misc: Books,,11-14,11,14,Disks of Mishakal II,False,185; 187,filled
G,Misc: Books,,15-18,15,18,of the Enlightened Gods,False,187,filled
G,Misc: Books,,19-21,19,21,of Exalted Deeds,False,188,filled
G,Misc: Books,,22-25,22,25,of Golems,False,188,filled
G,Misc: Books,,26-29,26,29,of Mystical Equations,False,189,filled
G,Misc: Books,,30-32,30,32,of the Planes,False,38,filled
G,Misc: Books,,33-36,33,36,Ravenloft Golem,False,189,filled
G,Misc: Books,,37-40,37,40,of Vile Darkness,False,192,filled
G,Misc: Books,,41-43,41,43,of Twelve Seals,False,669,filled
G,Misc: Books,,44-47,44,47,of Vile Darkness,False,192,filled
G,Misc: Books,,48-50,48,50,Contracts of Nepthas,False,329,filled
G,Misc: Books,,51-54,51,54,Analect of Magic,False,657,filled
G,Misc: Books,,55-58,55,58,of the Black Heart,False,657,filled
G,Misc: Books,,59-61,59,61,Boccob's Blessed Book,False,659,filled
G,Misc: Books,,62-65,62,65,Codex of the Infinite Planes,False,660,filled
G,Misc: Books,,66-69,66,69,of Constructs,False,660,filled
G,Misc: Books,,70-72,70,72,of Constructs,False,660,filled
G,Misc: Books,,73-76,73,76,of Destruction,False,662,filled
G,Misc: Books,,77-80,77,80,of Evaluation,False,662,filled
G,Misc: Books,,81-83,81,83,of Gainful Conjuration,False,662,filled
G,Misc: Books,,84-87,84,87,of Golems,False,188,filled
G,Misc: Books,,88-91,88,91,Gollum Construckzion,False,663,filled
G,Misc: Books,,92-94,92,94,Grimoire of Archaic Alchemy,False,663,filled
G,Misc: Books,,95-98,95,98,of Identification,False,663,filled
G,Misc: Books,,99-101,99,101,of Ineffable Damnation,False,663,filled
G,Misc: Books,,102-105,102,105,of Keeping,False,663,filled
G,Misc: Books,,106-109,106,109,of Lawful Good Legends,False,941,filled
G,Misc: Books,,110-112,110,112,of Lawful Neutral Legends,False,664,filled
