table,category,subcategory,roll_display,roll_low,roll_high,name,reroll,page,page_status
H,Misc: Gems & Jewelry,,01,1,1,Enchanted Enhancements,True,21,filled
H,Misc: Gems & Jewelry,,2-3,2,3,of the Abyss,False,27,filled
H,Misc: Gems & Jewelry,,4-5,4,5,Against ESP & Crystal Balls,False,784,filled
H,Misc: Gems & Jewelry,,6-7,6,7,Against Disease,False,27,filled
H,Misc: Gems & Jewelry,,8-9,8,9,of Amiability,False,27,filled
H,Misc: Gems & Jewelry,,10-11,10,11,of Arachnid Control,False,949,filled
H,Misc: Gems & Jewelry,,12-13,12,13,Silver of the Beast,False,325,filled
H,Misc: Gems & Jewelry,,14-15,14,15,Ivory of the Beast,False,1420; 1421,filled
H,Misc: Gems & Jewelry,,16-17,16,17,of the Cairn Hills,False,28,filled
H,Misc: Gems & Jewelry,,18-19,18,19,of Caterpillar Control,False,29,filled
H,Misc: Gems & Jewelry,,20-21,20,21,of Charm Resistance,False,29,filled
H,Misc: Gems & Jewelry,,22-23,22,23,of Charming,False,1321,filled
H,Misc: Gems & Jewelry,,24-25,24,25,of Charming,False,1321,filled
H,Misc: Gems & Jewelry,,26-27,26,27,of Cheetah Speed,False,29,filled
H,Misc: Gems & Jewelry,,28-29,28,29,of Communication,False,29,filled
H,Misc: Gems & Jewelry,,30-31,30,31,of Dragon Warding,False,29,filled
H,Misc: Gems & Jewelry,,32-33,32,33,of Dragon Warding,False,29,filled
H,Misc: Gems & Jewelry,,34-35,34,35,of Dramatic Death,False,29,filled
H,Misc: Gems & Jewelry,,36-37,36,37,Draskilion's of Life,False,31,filled
H,Misc: Gems & Jewelry,,38-39,38,39,of Elemental Command,False,960,filled
H,Misc: Gems & Jewelry,,40-41,40,41,of Emotions,False,31,filled
H,Misc: Gems & Jewelry,,42-43,42,43,of Extension,False,31,filled
H,Misc: Gems & Jewelry,,44-45,44,45,of Far Reaching,False,31,filled
H,Misc: Gems & Jewelry,,46-47,46,47,Fiend,False,32,filled
H,Misc: Gems & Jewelry,,48-49,48,49,of Finding,False,32,filled
H,Misc: Gems & Jewelry,,50,50,50,Furyondy's,False,32,filled
H,Misc: Gems & Jewelry,,51-52,51,52,of the Golden Collar,False,32,filled
H,Misc: Gems & Jewelry,,53-54,53,54,Greenstone,False,32,filled
H,Misc: Gems & Jewelry,,55-56,55,56,Hands of the Healing Spirit,False,33,filled
H,Misc: Gems & Jewelry,,57-58,57,58,Hardware,False,34,filled
H,Misc: Gems & Jewelry,,59-60,59,60,Health,False,969,filled
H,Misc: Gems & Jewelry,,61-62,61,62,Cursed Health,False,969,filled
H,Misc: Gems & Jewelry,,63-64,63,64,of the Hero,False,34,filled
H,Misc: Gems & Jewelry,,65-66,65,66,of Holy Turning,False,34,filled
H,Misc: Gems & Jewelry,,67-68,67,68,of Hunting,False,35,filled
H,Misc: Gems & Jewelry,,69-70,69,70,Cursed of Hunting,False,1071; 1072,filled
H,Misc: Gems & Jewelry,,71-72,71,72,of Immunity to Charm,False,35,filled
H,Misc: Gems & Jewelry,,73-74,73,74,of Inescapable Location,False,35,filled
H,Misc: Gems & Jewelry,,75-76,75,76,of Insect Repellency,False,35,filled
H,Misc: Gems & Jewelry,,77-78,77,78,Kaleen's Undead Stone,False,35,filled
H,Misc: Gems & Jewelry,,79-80,79,80,of Lathander,False,35,filled
H,Misc: Gems & Jewelry,,81-82,81,82,of Leadership,False,1030,filled
H,Misc: Gems & Jewelry,,83-84,83,84,of Life Protection,False,36,filled
H,Misc: Gems & Jewelry,,85-86,85,86,of Magic Resistance,False,36,filled
H,Misc: Gems & Jewelry,,87-88,87,88,of Metaspell Influence,False,36,filled
H,Misc: Gems & Jewelry,,89-90,89,90,of Neutrality,False,942,filled
H,Misc: Gems & Jewelry,,91-92,91,92,Noseeum,False,37,filled
H,Misc: Gems & Jewelry,,93-94,93,94,Orcish,False,37,filled
H,Misc: Gems & Jewelry,,95-96,95,96,Cursed Orcish,False,1071; 1072,filled
H,Misc: Gems & Jewelry,,97-98,97,98,Palm Sign,False,37,filled
H,Misc: Gems & Jewelry,,99,99,99,of the Papyrus Scepter,False,38,filled
