table,category,subcategory,roll_display,roll_low,roll_high,name,reroll,page,page_status
K,Misc: Girdles & Helms,,1-5,1,5,Enchanted Enhancements,True,21,filled
K,Misc: Girdles & Helms,,6-11,6,11,Arcane,False,163,filled
K,Misc: Girdles & Helms,,12-17,12,17,Black Elk Clan Ceremonial,False,675,filled
K,Misc: Girdles & Helms,,18-23,18,23,Blue Elk Clan Ceremonial,False,101,filled
K,Misc: Girdles & Helms,,24-29,24,29,Golden Elk Clan Ceremonial,False,1303,filled
K,Misc: Girdles & Helms,,30-34,30,34,Green Elk Clan Ceremonial,False,359,filled
K,Misc: Girdles & Helms,,35-40,35,40,Red Elk Clan Ceremonial,False,168,filled
K,Misc: Girdles & Helms,,41-46,41,46,White Elk Clan Ceremonial,False,1105,filled
K,Misc: Girdles & Helms,,47-52,47,52,of Goblinoid Protection,False,168,filled
K,Misc: Girdles & Helms,,53-58,53,58,Golden Serpent,False,169,filled
K,Misc: Girdles & Helms,,59-63,59,63,Lemmikainen's,False,78,filled
K,Misc: Girdles & Helms,,64-69,64,69,Meginjarder,False,169,filled
K,Misc: Girdles & Helms,,70-75,70,75,Serpé's of Swimming,False,169,filled
K,Misc: Girdles & Helms,,76-81,76,81,Serpent,False,153,filled
K,Misc: Girdles & Helms,,82-87,82,87,Snake,False,910,filled
K,Misc: Girdles & Helms,,88-92,88,92,Udo's of Flying,False,170,filled
K,Misc: Girdles & Helms,,93-98,93,98,Vainamoinen's,False,1411,filled
K,Misc: Girdles & Helms,,99-104,99,104,Zoster of Zeal,False,170,filled
K,Misc: Girdles & Helms,,105-110,105,110,Zoster of Zoophobia,False,171,filled
K,Misc: Girdles & Helms,,111-116,111,116,of Armor,False,69,filled
K,Misc: Girdles & Helms,,117-122,117,122,of Faulty Lockpicks,False,230,filled
K,Misc: Girdles & Helms,,123-127,123,127,of Lockpicks,False,230,filled
K,Misc: Girdles & Helms,,128-133,128,133,of Opening,False,231,filled
K,Misc: Girdles & Helms,,134-139,134,139,of Protection,False,1009,filled
K,Misc: Girdles & Helms,,140-145,140,145,of Weaponry,False,595,filled
K,Misc: Girdles & Helms,,146-151,146,151,of the Beguiler,False,297,filled
K,Misc: Girdles & Helms,,152-156,152,156,Cursed School,False,250,filled
K,Misc: Girdles & Helms,,157-162,157,162,Dream of Veluna,False,250,filled
K,Misc: Girdles & Helms,,163-168,163,168,of Evil,False,944,filled
K,Misc: Girdles & Helms,,169-174,169,174,Healing of Veluna,False,250,filled
K,Misc: Girdles & Helms,,175-180,175,180,Nightcap of Sleep,False,250,filled
K,Misc: Girdles & Helms,,181-185,181,185,Nightcap of Vision,False,251,filled
K,Misc: Girdles & Helms,,186-191,186,191,School,False,251,filled
K,Misc: Girdles & Helms,,192-197,192,197,of Sleep,False,547,filled
K,Misc: Girdles & Helms,,198-203,198,203,of Teleportation,False,412,filled
K,Misc: Girdles & Helms,,204-209,204,209,of Vision,False,252,filled
K,Misc: Girdles & Helms,,210-214,210,214,of the Adder,False,289,filled
K,Misc: Girdles & Helms,,215-220,215,220,Coronet of Communication,False,290,filled
K,Misc: Girdles & Helms,,221-226,221,226,Dalvan's,False,290,filled
K,Misc: Girdles & Helms,,227-232,227,232,Diadem of Disenchantment,False,290,filled
K,Misc: Girdles & Helms,,233-238,233,238,Diadem of Doom,False,290,filled
K,Misc: Girdles & Helms,,239-244,239,244,Golden,False,1303,filled
K,Misc: Girdles & Helms,,245-249,245,249,Golden of Greyhawk,False,1303,filled
K,Misc: Girdles & Helms,,250-255,250,255,of Psionic Enhancement,False,292,filled
K,Misc: Girdles & Helms,,256-261,256,261,of Underwater Speech,False,292,filled
K,Misc: Girdles & Helms,,262-267,262,267,of the Wyrm,False,292,filled
K,Misc: Girdles & Helms,,268-273,268,273,Cowl of Warding,False,331,filled
K,Misc: Girdles & Helms,,274-278,274,278,of Back Defense,False,532,filled
K,Misc: Girdles & Helms,,279-284,279,284,of Dwarvenkind,False,533,filled
K,Misc: Girdles & Helms,,285-290,285,290,of Difference,False,570,filled
K,Misc: Girdles & Helms,,291-296,291,296,of Femininity/Masculinity,False,533,filled
