table,category,subcategory,roll_display,roll_low,roll_high,name,reroll,page,page_status
L,Misc: Bags & Bottles,,1-3,1,3,Enchanted Enhancements,True,21,filled
L,Misc: Bags & Bottles,,4-7,4,7,Backpack of Holding,False,123,filled
L,Misc: Bags & Bottles,,8-11,8,11,of Beans,False,123; 124,filled
L,Misc: Bags & Bottles,,12-15,12,15,of Beans II,False,123; 124,filled
L,Misc: Bags & Bottles,,16-19,16,19,Beltpouch of Disappearance,False,132,filled
L,Misc: Bags & Bottles,,20-23,20,23,of Bones,False,225,filled
L,Misc: Bags & Bottles,,24-27,24,27,Bucknard's Everfull Purse,False,133,filled
L,Misc: Bags & Bottles,,28-31,28,31,of Devouring,False,173,filled
L,Misc: Bags & Bottles,,32-35,32,35,Devouring Pouch,False,133,filled
L,Misc: Bags & Bottles,,36-39,36,39,of Duplication,False,726,filled
L,Misc: Bags & Bottles,,40-43,40,43,Ever-Full of Seeds,False,134,filled
L,Misc: Bags & Bottles,,44-47,44,47,of Eyes,False,755,filled
L,Misc: Bags & Bottles,,48-51,48,51,Feedbag of Plenty,False,134,filled
L,Misc: Bags & Bottles,,52-55,52,55,Food Pouch,False,134,filled
L,Misc: Bags & Bottles,,56-58,56,58,Henry's Carpetbag of Holding,False,134,filled
L,Misc: Bags & Bottles,,59-62,59,62,Heward's Handy Haversack,False,135,filled
L,Misc: Bags & Bottles,,63-66,63,66,of Holding,False,1514,filled
L,Misc: Bags & Bottles,,67-70,67,70,of Infinite Wealth,False,135,filled
L,Misc: Bags & Bottles,,71-74,71,74,Jasper Thunderhand's Haversack,False,135,filled
L,Misc: Bags & Bottles,,75-78,75,78,Kangaroo Pouch,False,136,filled
L,Misc: Bags & Bottles,,79-82,79,82,Khalid's Pouch of Accessibility,False,136,filled
L,Misc: Bags & Bottles,,83-86,83,86,of Many Bags,False,136,filled
L,Misc: Bags & Bottles,,87-90,87,90,Nithian Saddlebags,False,136,filled
L,Misc: Bags & Bottles,,91-94,91,94,Noj's of Misplacing,False,136,filled
L,Misc: Bags & Bottles,,95-98,95,98,Pictish of Fiends,False,136,filled
L,Misc: Bags & Bottles,,99-102,99,102,of Plenty,False,269,filled
L,Misc: Bags & Bottles,,103-106,103,106,Protection Pouch,False,136,filled
L,Misc: Bags & Bottles,,107-110,107,110,Pouch of Accessibility,False,837,filled
L,Misc: Bags & Bottles,,111-113,111,113,Pouch of Holding,False,137,filled
L,Misc: Bags & Bottles,,114-117,114,117,of Returning,False,527,filled
L,Misc: Bags & Bottles,,118-121,118,121,Pouch of Security,False,837,filled
L,Misc: Bags & Bottles,,122-125,122,125,Seed Satchel,False,137,filled
L,Misc: Bags & Bottles,,126-129,126,129,Silent Purse,False,137,filled
L,Misc: Bags & Bottles,,130-133,130,133,Skain's Satchel,False,137,filled
L,Misc: Bags & Bottles,,134-137,134,137,Sleeping Bag of Armor Nullification,False,138,filled
L,Misc: Bags & Bottles,,138-141,138,141,of Teleportation,False,412,filled
L,Misc: Bags & Bottles,,142-145,142,145,of Transmitting,False,138,filled
L,Misc: Bags & Bottles,,146-149,146,149,of Traveling,False,138,filled
L,Misc: Bags & Bottles,,150-153,150,153,of Tricks,False,138,filled
L,Misc: Bags & Bottles,,154-157,154,157,of Useful Items,False,1017,filled
L,Misc: Bags & Bottles,,158-161,158,161,of Vanishing,False,139,filled
L,Misc: Bags & Bottles,,162-165,162,165,of Wind,False,466,filled
L,Misc: Bags & Bottles,,166-168,166,168,Wind Pouch,False,466,filled
L,Misc: Bags & Bottles,,169-172,169,172,of the Woodlands,False,141,filled
L,Misc: Bags & Bottles,,173-176,173,176,Zadron's Pouch of Wonders,False,141,filled
L,Misc: Bags & Bottles,,177-180,177,180,Zagyg's Spell Component Pouch,False,147,filled
L,Misc: Bags & Bottles,,181-184,181,184,of Hiding,False,1513,filled
L,Misc: Bags & Bottles,,185-188,185,188,Itzpixc's Collapsible,False,159,filled
L,Misc: Bags & Bottles,,189-192,189,192,Neverending of Grog,False,209,filled
L,Misc: Bags & Bottles,,193-196,193,196,Neverending of Salt Pork,False,1045,filled
L,Misc: Bags & Bottles,,197-200,197,200,of Poverty,False,160,filled
L,Misc: Bags & Bottles,,201-204,201,204,of Rolling,False,160,filled
L,Misc: Bags & Bottles,,205-208,205,208,of the CG Angel,False,161,filled
L,Misc: Bags & Bottles,,209-212,209,212,of the LG Angel,False,161,filled
L,Misc: Bags & Bottles,,213-216,213,216,of the NG Angel,False,161,filled
L,Misc: Bags & Bottles,,217-220,217,220,of Hidden Dangers,False,161,filled
L,Misc: Bags & Bottles,,221-224,221,224,Basket of Devouring,False,161,filled
L,Misc: Bags & Bottles,,225-227,225,227,of Cures,False,1149,filled
L,Misc: Bags & Bottles,,228-231,228,231,of Plentiful Potions,False,165,filled
L,Misc: Bags & Bottles,,232-235,232,235,Bedroll of Dryness,False,166,filled
L,Misc: Bags & Bottles,,236-239,236,239,Brazen,False,199,filled
L,Misc: Bags & Bottles,,240-243,240,243,of Containment,False,151,filled
L,Misc: Bags & Bottles,,244-247,244,247,Efreeti,False,199,filled
L,Misc: Bags & Bottles,,248-251,248,251,of Evaporation,False,199,filled
L,Misc: Bags & Bottles,,252-255,252,255,Eversmoking,False,199,filled
L,Misc: Bags & Bottles,,256-259,256,259,of Fireflies,False,199,filled
L,Misc: Bags & Bottles,,260-263,260,263,Graffiti,False,200,filled
L,Misc: Bags & Bottles,,264-267,264,267,of Pleasant Odors,False,200,filled
L,Misc: Bags & Bottles,,268-271,268,271,of Preservation,False,216,filled
L,Misc: Bags & Bottles,,272-275,272,275,of Refreshment,False,200,filled
L,Misc: Bags & Bottles,,276-279,276,279,Safety,False,995,filled
L,Misc: Bags & Bottles,,280-282,280,282,Temperature,False,200,filled
L,Misc: Bags & Bottles,,283-286,283,286,Thought,False,200,filled
L,Misc: Bags & Bottles,,287-290,287,290,Thuba's Efreeti,False,201,filled
L,Misc: Bags & Bottles,,291-294,291,294,of Trapping,False,201,filled
L,Misc: Bags & Bottles,,295-298,295,298,Undead,False,83,filled
L,Misc: Bags & Bottles,,299-302,299,302,of Blood,False,210,filled
L,Misc: Bags & Bottles,,303-306,303,306,Calabash of Plenty,False,211,filled
