table,category,subcategory,roll_display,roll_low,roll_high,name,reroll,page,page_status
N,Misc: Household,,01,1,1,Enchanted Enhancements,True,21,filled
N,Misc: Household,,2-3,2,3,Abacus of Calculation,False,25,filled
N,Misc: Household,,4-5,4,5,High of the Dwarves,False,1140,filled
N,Misc: Household,,6-7,6,7,Iron of the Armies,False,1484,filled
N,Misc: Household,,8-9,8,9,of the Lortmil Mountains,False,52,filled
N,Misc: Household,,10-11,10,11,of Comfort,False,173,filled
N,Misc: Household,,12-13,12,13,Flandal Steelskin's,False,58,filled
N,Misc: Household,,14-15,14,15,Leather,False,58,filled
N,Misc: Household,,16-17,16,17,Arabel's Huggable Bear,False,58,filled
N,Misc: Household,,18-19,18,19,Armor Bath,False,69,filled
N,Misc: Household,,20-21,20,21,Blue on Bronze,False,101,filled
N,Misc: Household,,22-23,22,23,Dragonnel-by-the-Cliff,False,101,filled
N,Misc: Household,,24-25,24,25,The Gladiators,False,102,filled
N,Misc: Household,,26,26,26,Glorindel's Gates,False,103,filled
N,Misc: Household,,27-28,27,28,Glorindel's Living Painting,False,104,filled
N,Misc: Household,,29-30,29,30,Igraine's Portrait,False,105,filled
N,Misc: Household,,31-32,31,32,Norval's Timely Portrait,False,106,filled
N,Misc: Household,,33-34,33,34,Pigments of Longevity,False,106,filled
N,Misc: Household,,35-36,35,36,Portraiture by Magic,False,106,filled
N,Misc: Household,,37-38,37,38,The Watchers,False,106,filled
N,Misc: Household,,39-40,39,40,Widow's Walk,False,108,filled
N,Misc: Household,,41-42,41,42,Full,False,111,filled
N,Misc: Household,,43-44,43,44,of Hole Punching,False,111,filled
N,Misc: Household,,45-46,45,46,Inn,False,111,filled
N,Misc: Household,,47-48,47,48,Mess,False,111,filled
N,Misc: Household,,49,49,49,of Conversion,False,148,filled
N,Misc: Household,,50-51,50,51,of Harmony,False,148,filled
N,Misc: Household,,52-53,52,53,of Judgment,False,390,filled
N,Misc: Household,,54-55,54,55,of Power,False,907,filled
N,Misc: Household,,56-57,56,57,of Attraction,False,154,filled
N,Misc: Household,,58-59,58,59,of Bravery,False,830,filled
N,Misc: Household,,60-61,60,61,Cursed,False,1071; 1072,filled
N,Misc: Household,,62-63,62,63,Dragon Flag,False,155,filled
N,Misc: Household,,64-65,64,65,of Ferocity,False,155,filled
N,Misc: Household,,66-67,66,67,Flag of Untrue Colors,False,155,filled
N,Misc: Household,,68-69,68,69,Flying,False,1513,filled
N,Misc: Household,,70-71,70,71,of Friendship,False,1370,filled
N,Misc: Household,,72,72,72,Holy,False,1505,filled
N,Misc: Household,,73-74,73,74,of Insults,False,156,filled
N,Misc: Household,,75-76,75,76,Law's,False,156,filled
N,Misc: Household,,77-78,77,78,Magic Shield,False,156,filled
N,Misc: Household,,79-80,79,80,Pennant of Bravery,False,156,filled
N,Misc: Household,,81-82,81,82,of Privacy,False,156,filled
N,Misc: Household,,83-84,83,84,of Protection,False,1009,filled
N,Misc: Household,,85-86,85,86,of Protection II,False,1009,filled
N,Misc: Household,,87-88,87,88,of Renown,False,157,filled
N,Misc: Household,,89-90,89,90,of Terror,False,413,filled
N,Misc: Household,,91-92,91,92,Zen's,False,157,filled
N,Misc: Household,,93-94,93,94,Fangpick,False,166,filled
N,Misc: Household,,95-96,95,96,Absorbing,False,166,filled
N,Misc: Household,,97,97,97,of Breath,False,167,filled
N,Misc: Household,,98-99,98,99,of Breezes,False,167,filled
N,Misc: Household,,100-101,100,101,of Roaring,False,167,filled
N,Misc: Household,,102-103,102,103,of Encumbrance,False,171,filled
N,Misc: Household,,104-105,104,105,of Levitation,False,483,filled
N,Misc: Household,,106-107,106,107,of Ramming,False,673,filled
N,Misc: Household,,108-109,108,109,Black Wall,False,675,filled
N,Misc: Household,,110-111,110,111,of Comfort,False,173,filled
N,Misc: Household,,112-113,112,113,of Devouring,False,173,filled
N,Misc: Household,,114-115,114,115,of Protection,False,1009,filled
N,Misc: Household,,116-117,116,117,Silk Coverlet of Warmth,False,173,filled
N,Misc: Household,,118-119,118,119,of Sleeping,False,173,filled
N,Misc: Household,,120,120,120,of Animated Attack,False,228,filled
N,Misc: Household,,121-122,121,122,of Blindness,False,229,filled
N,Misc: Household,,123-124,123,124,of Flying,False,1513,filled
N,Misc: Household,,125-126,125,126,of Serving,False,229,filled
N,Misc: Household,,127-128,127,128,of Sweeping,False,229,filled
N,Misc: Household,,129-130,129,130,of Sweeping II,False,229,filled
N,Misc: Household,,131-132,131,132,of Colors,False,650,filled
N,Misc: Household,,133-134,133,134,of Detangling,False,230,filled
N,Misc: Household,,135-136,135,136,of Grooming,False,230,filled
N,Misc: Household,,137-138,137,138,Vladium's Fabulous Equine,False,230,filled
N,Misc: Household,,139-140,139,140,of Blasting,False,231,filled
N,Misc: Household,,141-142,141,142,of Confusion,False,901,filled
N,Misc: Household,,143-144,143,144,Discus,False,232,filled
N,Misc: Household,,145,145,145,of Fastening,False,232,filled
N,Misc: Household,,146-147,146,147,of Rosy Vision,False,232,filled
N,Misc: Household,,148-149,148,149,of Death,False,1478,filled
N,Misc: Household,,150-151,150,151,of Dousing,False,246,filled
N,Misc: Household,,152-153,152,153,of Exploding,False,242,filled
N,Misc: Household,,154-155,154,155,Remote,False,247,filled
N,Misc: Household,,156-157,156,157,of Serving,False,229,filled
N,Misc: Household,,158-159,158,159,Accursed,False,256,filled
N,Misc: Household,,160-161,160,161,of Diving,False,256,filled
N,Misc: Household,,162-163,162,163,of Fighting,False,256,filled
N,Misc: Household,,164-165,164,165,of Flying,False,1513,filled
N,Misc: Household,,166-167,166,167,of Frying,False,257,filled
N,Misc: Household,,168,168,168,Leonardo's of Flying,False,1513,filled
N,Misc: Household,,169-170,169,170,Rug of Mothering,False,257,filled
N,Misc: Household,,171-172,171,172,Rug of Smothering,False,257,filled
N,Misc: Household,,173-174,173,174,Rug of Welcome,False,257,filled
N,Misc: Household,,175-176,175,176,Self Cleaning,False,257,filled
N,Misc: Household,,177-178,177,178,Solomon's Magic,False,259,filled
N,Misc: Household,,179-180,179,180,Carving of Restful Sleep,False,261,filled
N,Misc: Household,,181-182,181,182,of Amnesia,False,273,filled
N,Misc: Household,,183-184,183,184,of the Ancestors,False,273,filled
N,Misc: Household,,185-186,185,186,of Extra Seating,False,274,filled
N,Misc: Household,,187-188,187,188,of Helplessness,False,274,filled
N,Misc: Household,,189-190,189,190,of Relaxing,False,274,filled
N,Misc: Household,,191-192,191,192,of Retrieval,False,274,filled
