table,category,subcategory,roll_display,roll_low,roll_high,name,reroll,page,page_status
O,Misc: Music Instruments,,1-4,1,4,Enchanted Enhancements,True,21,filled
O,Misc: Music Instruments,,5-9,5,9,Eartrumpet,False,428,filled
O,Misc: Music Instruments,,10-14,10,14,Larynx of Deafening,False,650,filled
O,Misc: Music Instruments,,15-18,15,18,Bell of Alarm,False,815,filled
O,Misc: Music Instruments,,19-23,19,23,Bell of the Ball,False,150,filled
O,Misc: Music Instruments,,24-28,24,28,Bell of Calling,False,349,filled
O,Misc: Music Instruments,,29-33,29,33,Choir Bell,False,814,filled
O,Misc: Music Instruments,,34-37,34,37,Church Bell,False,815,filled
O,Misc: Music Instruments,,38-42,38,42,Cow Bell,False,815,filled
O,Misc: Music Instruments,,43-47,43,47,Bell of Discord,False,815,filled
O,Misc: Music Instruments,,48-52,48,52,Bell of Doom,False,212,filled
O,Misc: Music Instruments,,53-56,53,56,Bell of Freedom,False,815,filled
O,Misc: Music Instruments,,57-61,57,61,Golden Bell of Blasting,False,1303,filled
O,Misc: Music Instruments,,62-66,62,66,Bell of Lament,False,815,filled
O,Misc: Music Instruments,,67-70,67,70,Pavlov's Bell,False,815,filled
O,Misc: Music Instruments,,71-75,71,75,Bell of Protection,False,439,filled
O,Misc: Music Instruments,,76-80,76,80,Bell of Ringing,False,815,filled
O,Misc: Music Instruments,,81-85,81,85,Bell of Treachery,False,815,filled
O,Misc: Music Instruments,,86-89,86,89,Bell of Warning,False,815,filled
O,Misc: Music Instruments,,90-94,90,94,Bell of Warning II,False,815,filled
O,Misc: Music Instruments,,95-99,95,99,Alexander's Chime of Opening,False,816,filled
O,Misc: Music Instruments,,100-104,100,104,Featherchime,False,816,filled
O,Misc: Music Instruments,,105-108,105,108,Chime of Hunger,False,818,filled
O,Misc: Music Instruments,,109-113,109,113,Chime of Interruption,False,818,filled
O,Misc: Music Instruments,,114-118,114,118,Chime of Opening,False,818,filled
O,Misc: Music Instruments,,119-122,119,122,Sebastian's Chime of Opening,False,817,filled
O,Misc: Music Instruments,,123-127,123,127,Chime of Time,False,1252,filled
O,Misc: Music Instruments,,128-132,128,132,Chime of Visitors,False,818,filled
O,Misc: Music Instruments,,133-137,133,137,Chime of Warning,False,210,filled
O,Misc: Music Instruments,,138-141,138,141,Cymbal of Crashing,False,818,filled
O,Misc: Music Instruments,,142-146,142,146,Cymbal of Symbols,False,818,filled
O,Misc: Music Instruments,,147-151,147,151,Bass Drum,False,818,filled
O,Misc: Music Instruments,,152-156,152,156,Drum of Deafening,False,819,filled
O,Misc: Music Instruments,,157-160,157,160,Lei Kung's Drum,False,819,filled
O,Misc: Music Instruments,,161-165,161,165,Drum of Menace,False,819,filled
O,Misc: Music Instruments,,166-170,166,170,Native Drum,False,819,filled
O,Misc: Music Instruments,,171-175,171,175,Drum of Panic,False,819,filled
O,Misc: Music Instruments,,176-179,176,179,Drum of Silence,False,704; 705,filled
O,Misc: Music Instruments,,180-184,180,184,Snare Drum,False,820,filled
O,Misc: Music Instruments,,185-189,185,189,Tabele,False,820,filled
O,Misc: Music Instruments,,190-193,190,193,Drum of Thunder,False,820,filled
O,Misc: Music Instruments,,194-198,194,198,Dughal's Percussion Instrument,False,811,filled
O,Misc: Music Instruments,,199-203,199,203,Butler Summoning Gong,False,821,filled
O,Misc: Music Instruments,,204-208,204,208,Chain Gong,False,1350,filled
O,Misc: Music Instruments,,209-212,209,212,Gong of Disabling,False,821,filled
O,Misc: Music Instruments,,213-217,213,217,Gong of Earthquakes,False,821,filled
O,Misc: Music Instruments,,218-222,218,222,Gong of Fishing,False,821,filled
O,Misc: Music Instruments,,223-227,223,227,Ricking Gong,False,822,filled
O,Misc: Music Instruments,,228-231,228,231,Gong of Stunning,False,822,filled
O,Misc: Music Instruments,,232-236,232,236,Gong of Summoning,False,822,filled
O,Misc: Music Instruments,,237-241,237,241,Gong of the Whirlwind,False,822,filled
O,Misc: Music Instruments,,242-245,242,245,Gong of Travel,False,1315,filled
O,Misc: Music Instruments,,246-250,246,250,Rattle of Death,False,1478,filled
O,Misc: Music Instruments,,251-255,251,255,Rattle of Exorcism,False,823,filled
O,Misc: Music Instruments,,256-260,256,260,Rattle of Shaking and Rolling,False,823,filled
O,Misc: Music Instruments,,261-264,261,264,Rattle of Summoning,False,823,filled
O,Misc: Music Instruments,,265-269,265,269,Rattle of Youth,False,823,filled
O,Misc: Music Instruments,,270-274,270,274,Riqq of the Efreet,False,1132,filled
O,Misc: Music Instruments,,275-279,275,279,Fochlucan Bandore,False,1320,filled
O,Misc: Music Instruments,,280-283,280,283,Biwa of Calling,False,349,filled
O,Misc: Music Instruments,,284-288,284,288,Biwa of Charming,False,1321,filled
O,Misc: Music Instruments,,289-293,289,293,Biwa of Discord,False,815,filled
