table,category,subcategory,roll_display,roll_low,roll_high,name,reroll,page,page_status
P,Misc: Weird Stuff,,1-2,1,2,Enchanted Enhancements,True,21,filled
P,Misc: Weird Stuff,,3-4,3,4,Aerial,False,45,filled
P,Misc: Weird Stuff,,5-6,5,6,Aerial II,False,45,filled
P,Misc: Weird Stuff,,7-9,7,9,Fishing,False,821,filled
P,Misc: Weird Stuff,,10-11,10,11,Hold Fast,False,45,filled
P,Misc: Weird Stuff,,12-13,12,13,Man,False,45,filled
P,Misc: Weird Stuff,,14-15,14,15,Seafaring,False,46,filled
P,Misc: Weird Stuff,,16-18,16,18,Cursed of Staying,False,1071; 1072,filled
P,Misc: Weird Stuff,,19-20,19,20,Greater of Staying,False,46,filled
P,Misc: Weird Stuff,,21-22,21,22,Lesser of Staying,False,46,filled
P,Misc: Weird Stuff,,23-24,23,24,of Weight,False,47,filled
P,Misc: Weird Stuff,,25-27,25,27,Antennae of Triangulation,False,50,filled
P,Misc: Weird Stuff,,28-29,28,29,Apparatus of Kwalish,False,414,filled
P,Misc: Weird Stuff,,30-31,30,31,of Doom,False,212,filled
P,Misc: Weird Stuff,,32-34,32,34,Silver of Ergoth,False,325,filled
P,Misc: Weird Stuff,,35-36,35,36,Silver of Ergoth II,False,325,filled
P,Misc: Weird Stuff,,37-38,37,38,Celestial,False,109,filled
P,Misc: Weird Stuff,,39-40,39,40,of Henrik,False,109,filled
P,Misc: Weird Stuff,,41-43,41,43,of Entrapment,False,234,filled
P,Misc: Weird Stuff,,44-45,44,45,of Avian Attraction,False,148,filled
P,Misc: Weird Stuff,,46-47,46,47,Base,False,149,filled
P,Misc: Weird Stuff,,48-49,48,49,of Cosmetology,False,149,filled
P,Misc: Weird Stuff,,50-52,50,52,Cue,False,149,filled
P,Misc: Weird Stuff,,53-54,53,54,Elemental (Earth),False,844,filled
P,Misc: Weird Stuff,,55-56,55,56,Elemental (Air),False,551,filled
P,Misc: Weird Stuff,,57-59,57,59,Elemental (Fire),False,1026,filled
P,Misc: Weird Stuff,,60-61,60,61,Elemental (Water),False,1505,filled
P,Misc: Weird Stuff,,62-63,62,63,of Endless String,False,150,filled
P,Misc: Weird Stuff,,64-65,64,65,Foot,False,150,filled
P,Misc: Weird Stuff,,66-68,66,68,Onyx,False,150,filled
P,Misc: Weird Stuff,,69-70,69,70,of Power,False,907,filled
P,Misc: Weird Stuff,,71-72,71,72,Air,False,697,filled
P,Misc: Weird Stuff,,73-74,73,74,Carnivorous,False,151,filled
P,Misc: Weird Stuff,,75-77,75,77,of Containment,False,151,filled
P,Misc: Weird Stuff,,78-80,78,80,Hot Air,False,151,filled
P,Misc: Weird Stuff,,81,81,81,Poison,False,151,filled
P,Misc: Weird Stuff,,82-83,82,83,Rust,False,422,filled
P,Misc: Weird Stuff,,84-86,84,86,Soap,False,151,filled
P,Misc: Weird Stuff,,87-88,87,88,of Traveling,False,138,filled
P,Misc: Weird Stuff,,89-90,89,90,Word,False,152,filled
P,Misc: Weird Stuff,,91-93,91,93,Arcane,False,163,filled
P,Misc: Weird Stuff,,94-95,94,95,Thayvian,False,163,filled
P,Misc: Weird Stuff,,96-97,96,97,Bison Skull Totem,False,172,filled
P,Misc: Weird Stuff,,98-99,98,99,Kolkis's Evil,False,172,filled
P,Misc: Weird Stuff,,100-102,100,102,Airboat,False,177,filled
P,Misc: Weird Stuff,,103-104,103,104,Canoe of Portage,False,178,filled
P,Misc: Weird Stuff,,105-106,105,106,Canoe of Travel,False,178,filled
P,Misc: Weird Stuff,,107-108,107,108,Desert,False,1009,filled
P,Misc: Weird Stuff,,109-111,109,111,Small Folding,False,178,filled
P,Misc: Weird Stuff,,112-113,112,113,Large Folding,False,178,filled
P,Misc: Weird Stuff,,114-115,114,115,Folding Coracle,False,178,filled
P,Misc: Weird Stuff,,116-118,116,118,Frog,False,179,filled
P,Misc: Weird Stuff,,119-120,119,120,Goerl's Portable Canoe/Tackle Box,False,179; 214,filled
P,Misc: Weird Stuff,,121-122,121,122,Hasty Barge of Nyr Dyv,False,179,filled
P,Misc: Weird Stuff,,123-124,123,124,House,False,179,filled
P,Misc: Weird Stuff,,125-127,125,127,Ice,False,351,filled
P,Misc: Weird Stuff,,128-129,128,129,Joukahainen's,False,208,filled
P,Misc: Weird Stuff,,130-131,130,131,Joukahainen's II,False,208,filled
P,Misc: Weird Stuff,,132-133,132,133,Mistboat,False,180,filled
P,Misc: Weird Stuff,,134-136,134,136,Portable Canoe,False,180,filled
P,Misc: Weird Stuff,,137-138,137,138,Quaal's Mystical Feather Token,False,180,filled
P,Misc: Weird Stuff,,139-140,139,140,Semekhtet Barge,False,180,filled
P,Misc: Weird Stuff,,141-143,141,143,Smuggler's,False,180,filled
P,Misc: Weird Stuff,,144-145,144,145,Storm Rider of the Gearnat Sea,False,181,filled
P,Misc: Weird Stuff,,146-147,146,147,Theon's Folding,False,181,filled
P,Misc: Weird Stuff,,148-149,148,149,Tub of Sailing,False,181; 1462,filled
P,Misc: Weird Stuff,,150-152,150,152,Underwater,False,210,filled
P,Misc: Weird Stuff,,153-154,153,154,Underwater,False,210,filled
P,Misc: Weird Stuff,,155-156,155,156,Vainamoinen's,False,1411,filled
P,Misc: Weird Stuff,,157-158,157,158,Xiphoid Xebec,False,182; 1415,filled
P,Misc: Weird Stuff,,159-161,159,161,Brass Horseman,False,222,filled
P,Misc: Weird Stuff,,162-163,162,163,of Acquiesce,False,223,filled
P,Misc: Weird Stuff,,164-165,164,165,of Control,False,1453,filled
P,Misc: Weird Stuff,,166-167,166,167,of Control II,False,1453,filled
P,Misc: Weird Stuff,,168-170,168,170,Golden,False,1303,filled
