table,category,subcategory,roll_display,roll_low,roll_high,name,reroll,page,page_status
S3,Weapons,,01,1,1,Enchanted Enhancements,True,21,filled
S3,Weapons,,02,2,2,Weapon Enhancements,True,1513,filled
S3,Weapons,,03,3,3,Accelerator,False,25; 596,filled
S3,Weapons,,04,4,4,Abaris's,False,84,filled
S3,Weapons,,05,5,5,Acid,False,84,filled
S3,Weapons,,06,6,6,of Aggravation,False,85,filled
S3,Weapons,,07,7,7,Antimagic,False,855,filled
S3,Weapons,,08,8,8,Apollo's,False,85,filled
S3,Weapons,,09,9,9,of Attraction,False,154,filled
S3,Weapons,,10,10,10,of Biting,False,85,filled
S3,Weapons,,11,11,11,Black of Iuz,False,675,filled
S3,Weapons,,12,12,12,of Blinding,False,86,filled
S3,Weapons,,13,13,13,of Blinking,False,240,filled
S3,Weapons,,14,14,14,Bolt of Lightning,False,86,filled
S3,Weapons,,15,15,15,of Bow-Breaking,False,86,filled
S3,Weapons,,16,16,16,of Burning,False,1530,filled
S3,Weapons,,17-18,17,18,of Charming,False,1321,filled
S3,Weapons,,19,19,19,of Charming II,False,1321,filled
S3,Weapons,,20,20,20,of Clairaudience,False,953,filled
S3,Weapons,,21,21,21,of Clairvoyance,False,1510,filled
S3,Weapons,,22,22,22,of Climbing,False,1043,filled
S3,Weapons,,23,23,23,of Connection,False,87,filled
S3,Weapons,,24,24,24,of Curing,False,751,filled
S3,Weapons,,25,25,25,of Darkness,False,1477,filled
S3,Weapons,,26,26,26,of Detonation,False,88,filled
S3,Weapons,,27,27,27,of Direction,False,860,filled
S3,Weapons,,28,28,28,of Disarming,False,88,filled
S3,Weapons,,29,29,29,of Disintegration,False,431,filled
S3,Weapons,,30,30,30,of Dispelling,False,1277,filled
S3,Weapons,,31,31,31,of Distance,False,176,filled
S3,Weapons,,32,32,32,of Draconian Slaying,False,88,filled
S3,Weapons,,33,33,33,Elven,False,74,filled
S3,Weapons,,34,34,34,of Enchantment,False,1512,filled
S3,Weapons,,35-36,35,36,of Explosions,False,89,filled
S3,Weapons,,37,37,37,of Extended Range,False,89,filled
S3,Weapons,,38,38,38,Faerie Fire,False,89,filled
S3,Weapons,,39,39,39,of Fire,False,1481,filled
S3,Weapons,,40,40,40,Fire Seed,False,89,filled
S3,Weapons,,41,41,41,Fire Trap,False,90,filled
S3,Weapons,,42,42,42,Flaming,False,90,filled
S3,Weapons,,43,43,43,of Flying,False,1513,filled
S3,Weapons,,44,44,44,of Force,False,1482,filled
S3,Weapons,,45,45,45,of Harm,False,90,filled
S3,Weapons,,46,46,46,of Holding,False,1514,filled
S3,Weapons,,47,47,47,of Holding II,False,1514,filled
S3,Weapons,,48,48,48,of Ice,False,351,filled
S3,Weapons,,49,49,49,of Illumination,False,1483,filled
S3,Weapons,,50,50,50,Illusory Missile,False,91,filled
S3,Weapons,,51,51,51,of Justice,False,386,filled
S3,Weapons,,52-53,52,53,of Law,False,156,filled
S3,Weapons,,54,54,54,of Light,False,374,filled
S3,Weapons,,55,55,55,of Lighting,False,374,filled
S3,Weapons,,56,56,56,of Lightning,False,633,filled
S3,Weapons,,57,57,57,Lycanthrope Slayer,False,92,filled
S3,Weapons,,58,58,58,Maglubiyet's Wounding,False,92,filled
S3,Weapons,,59,59,59,of Misdirection,False,92,filled
S3,Weapons,,60,60,60,Missile Weapon of Accuracy,False,92,filled
S3,Weapons,,61,61,61,Missile Weapon of Distance,True,92,filled
S3,Weapons,,62,62,62,of Multiplicity,False,92,filled
S3,Weapons,,63,63,63,Nilbog,False,92,filled
S3,Weapons,,64,64,64,Oberon's of Subduing,False,92,filled
